epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.101,1.25994,1.73023,1.47955,0.51091,0.3675,0.36775,0.16503,2.19395,2.20329,2.23917,0.00023727,0.00023727,0.00023727
2,349.525,1.29061,1.65139,1.49859,0.61146,0.42694,0.44635,0.19316,2.00782,2.12591,2.14447,0.000470565,0.000470565,0.000470565
3,522.267,1.26731,1.5976,1.48382,0.58853,0.48233,0.47703,0.21668,1.87853,1.90331,1.99683,0.000699147,0.000699147,0.000699147
4,689.919,1.23671,1.51393,1.45564,0.63552,0.49303,0.53372,0.25653,1.8117,1.76478,1.92593,0.000692794,0.000692794,0.000692794
5,857.275,1.19975,1.43834,1.43293,0.65359,0.50074,0.53573,0.25893,1.82405,1.6194,1.93226,0.000685726,0.000685726,0.000685726
6,1024.93,1.16658,1.3389,1.39997,0.72754,0.57223,0.6268,0.30803,1.69698,1.30944,1.8036,0.000678657,0.000678657,0.000678657
7,1192.13,1.13317,1.25173,1.37401,0.76092,0.57868,0.64561,0.31718,1.76152,1.31084,1.86324,0.000671588,0.000671588,0.000671588
8,1359.2,1.10595,1.19798,1.34921,0.72372,0.61667,0.6565,0.31416,1.85031,1.30488,1.92329,0.00066452,0.00066452,0.00066452
9,1526.04,1.09495,1.14253,1.33916,0.82631,0.62831,0.7062,0.35176,1.77959,1.13795,1.88732,0.000657451,0.000657451,0.000657451
10,1693.4,1.05675,1.08733,1.31446,0.82326,0.64756,0.71113,0.35452,1.70823,1.09198,1.79844,0.000650383,0.000650383,0.000650383
11,1860.54,1.0491,1.06015,1.31028,0.79493,0.65098,0.71802,0.36998,1.61662,1.05092,1.72613,0.000643314,0.000643314,0.000643314
12,2027.44,1.03135,1.02409,1.29307,0.8259,0.63895,0.70781,0.36153,1.66251,1.1249,1.75931,0.000636245,0.000636245,0.000636245
13,2194.04,1.00545,0.98561,1.27638,0.8411,0.66269,0.73498,0.40211,1.51481,0.98683,1.6515,0.000629177,0.000629177,0.000629177
14,2361.03,0.99471,0.95566,1.27062,0.80496,0.65156,0.71267,0.38153,1.66627,1.05674,1.79243,0.000622108,0.000622108,0.000622108
15,2527.69,0.97163,0.92514,1.25381,0.82626,0.68686,0.74604,0.4131,1.58976,0.94353,1.73217,0.00061504,0.00061504,0.00061504
16,2694.55,0.96095,0.9003,1.2425,0.84388,0.67577,0.75536,0.43286,1.49654,0.92488,1.63449,0.000607971,0.000607971,0.000607971
17,2861.69,0.94902,0.88454,1.23312,0.81978,0.64809,0.72485,0.38813,1.51535,0.9909,1.64643,0.000600902,0.000600902,0.000600902
18,3028.27,0.94343,0.86995,1.23745,0.81785,0.67566,0.74513,0.41695,1.47386,0.97399,1.61375,0.000593834,0.000593834,0.000593834
19,3194.89,0.92413,0.84916,1.2198,0.79892,0.7073,0.74694,0.43357,1.40473,0.87289,1.55331,0.000586765,0.000586765,0.000586765
20,3361.92,0.92256,0.81975,1.21512,0.84094,0.69114,0.75828,0.44588,1.40673,0.90988,1.55428,0.000579697,0.000579697,0.000579697
21,3529.17,0.89719,0.78675,1.19938,0.81097,0.71695,0.76542,0.45155,1.42317,0.86013,1.61259,0.000572628,0.000572628,0.000572628
22,3696.27,0.87738,0.76191,1.18909,0.84584,0.71291,0.77817,0.46689,1.38167,0.81912,1.52872,0.000565559,0.000565559,0.000565559
23,3863.3,0.87348,0.75335,1.18148,0.85989,0.69255,0.77596,0.4446,1.4901,0.84382,1.63778,0.000558491,0.000558491,0.000558491
24,4030.19,0.87379,0.75023,1.17571,0.89324,0.7167,0.80418,0.48123,1.40393,0.75339,1.57798,0.000551422,0.000551422,0.000551422
25,4197.34,0.85936,0.72586,1.16554,0.89715,0.711,0.78689,0.47048,1.37949,0.81178,1.52743,0.000544354,0.000544354,0.000544354
26,4364.14,0.84161,0.70911,1.15614,0.88745,0.72429,0.79819,0.48457,1.35472,0.76623,1.50113,0.000537285,0.000537285,0.000537285
27,4531.16,0.84072,0.70759,1.15998,0.8842,0.72031,0.79949,0.50356,1.27251,0.73697,1.47874,0.000530216,0.000530216,0.000530216
28,4698.41,0.83898,0.70209,1.15634,0.88113,0.74514,0.80256,0.49463,1.35339,0.73156,1.54154,0.000523148,0.000523148,0.000523148
29,4864.98,0.82895,0.68858,1.14924,0.84215,0.74867,0.80585,0.49738,1.35674,0.70253,1.5328,0.000516079,0.000516079,0.000516079
30,5031.69,0.81536,0.6708,1.14119,0.86912,0.75559,0.82123,0.48924,1.33411,0.72148,1.51227,0.000509011,0.000509011,0.000509011
31,5198.5,0.80253,0.65525,1.13007,0.88676,0.74759,0.8133,0.53084,1.19135,0.70802,1.37578,0.000501942,0.000501942,0.000501942
32,5365.47,0.79423,0.64326,1.12597,0.88662,0.74394,0.81636,0.50694,1.23926,0.70773,1.44964,0.000494873,0.000494873,0.000494873
33,5532.06,0.79905,0.64651,1.12493,0.88062,0.74753,0.82271,0.5208,1.24265,0.66713,1.46228,0.000487805,0.000487805,0.000487805
34,5698.66,0.78058,0.63697,1.12244,0.90451,0.73858,0.82049,0.51779,1.22088,0.66872,1.4238,0.000480736,0.000480736,0.000480736
35,5865.51,0.78285,0.62512,1.1177,0.87773,0.76211,0.82422,0.54253,1.15006,0.66167,1.35065,0.000473668,0.000473668,0.000473668
36,6032.44,0.7612,0.61742,1.11065,0.89709,0.75383,0.83764,0.54665,1.17207,0.63896,1.37498,0.000466599,0.000466599,0.000466599
